出発地のノード番号,到着側のノード番号,ウェイの距離[m]
36036,37786,4.15
4643,15183,20.68
15183,4643,20.68
15183,4644,18.06
4644,15183,18.06
4644,2412,10.07
2412,4644,10.07
2412,15184,14.68
15184,2412,14.68
15184,4645,14.93
4645,15184,14.93
4645,48635,8.62
48635,4645,8.62
48635,15185,11.91
15185,48635,11.91
15185,4646,21.29
4646,15185,21.29
4646,9354,23.7
9354,4646,23.7
9354,22926,36.36
22926,9354,36.36
22926,4647,4.35
4647,22926,4.35
9570,66708,15.6
66708,9570,15.6
66708,3349,94.32
3349,66708,94.32
3349,2489,130.19
2489,3349,130.19
2489,18639,33.89
18639,2489,33.89
18639,21921,61.59
21921,18639,61.59
21921,4663,128.34
4663,21921,128.34
4663,13534,40.36
13534,4663,40.36
13534,13548,62.45
13548,13534,62.45
13548,13553,57.49
13553,13548,57.49
13553,37195,18.38
37195,13553,18.38
37195,13566,70.96
13566,37195,70.96
13566,13576,33.44
13576,13566,33.44
13576,64646,41.33
64646,13576,41.33
64646,20079,14.44
20079,64646,14.44
20079,64645,11.99
64645,20079,11.99
64645,56481,45.74
56481,64645,45.74
56481,55093,150.38
55093,56481,150.38
55093,13644,39.84
13644,55093,39.84
13644,85858,51.42
85858,13644,51.42
85858,23275,10.63
23275,85858,10.63
23275,85857,14.85
85857,23275,14.85
85857,4656,37.87
4656,85857,37.87
4658,6890,15.0
6890,4658,15.0
6890,66570,11.23
66570,6890,11.23
66570,66557,9.52
66557,66570,9.52
66557,4659,16.8
4659,66557,16.8
4659,66554,14.35
66554,4659,14.35
66554,66564,7.96
66564,66554,7.96
66564,66561,19.31
66561,66564,19.31
66561,66562,6.28
66562,66561,6.28
66562,66567,25.82
66567,66562,25.82
66567,66558,1.33
66558,66567,1.33
66558,6889,6.07
6889,66558,6.07
6889,13817,7.27
13817,6889,7.27
4663,66731,9.65
66731,4663,9.65
66731,4664,54.64
4664,66731,54.64
4664,2506,55.52
2506,4664,55.52
2506,2504,56.86
2504,2506,56.86
2504,21922,15.87
21922,2504,15.87
21922,2496,39.43
2496,21922,39.43
2496,2487,56.01
2487,2496,56.01
2487,5270,97.87
5270,2487,97.87
5270,3348,29.32
3348,5270,29.32
3348,21923,78.6
21923,3348,78.6
21923,15054,25.65
15054,21923,25.65
15054,4665,8.49
4665,15054,8.49
2422,9316,7.99
9316,2422,7.99
9316,2414,69.04
2414,9316,69.04
2414,4643,98.28
4643,2414,98.28
37259,57512,52.76
57512,37259,52.76
57512,36032,56.53
36032,57512,56.53
36032,24720,55.61
24720,36032,55.61
24720,64053,54.16
64053,24720,54.16
64053,37261,52.45
37261,64053,52.45
37261,4621,3.81
4621,37261,3.81
4643,48639,14.54
48639,4643,14.54
48639,48641,32.93
48641,48639,32.93
48641,20080,11.57
20080,48641,11.57
20080,37263,12.26
37263,20080,12.26
37263,37266,97.38
37266,37263,97.38
37266,5695,14.37
5695,37266,14.37
5695,48634,40.59
48634,5695,40.59
48634,37267,52.93
37267,48634,52.93
37267,48648,9.64
48648,37267,9.64
48648,9323,4.12
9323,48648,4.12
9323,37268,9.08
37268,9323,9.08
48414,1100,10.45
1100,48414,10.45
1100,56104,14.43
56104,1100,14.43
56104,50215,41.65
50215,56104,41.65
50215,56103,3.75
56103,50215,3.75
56103,20075,31.53
20075,56103,31.53
50215,56138,6.0
56138,50215,6.0
56138,50247,50.39
50247,56138,50.39
50247,50294,45.38
50294,50247,45.38
50294,50321,45.23
50321,50294,45.23
50321,20076,44.01
20076,50321,44.01
20076,50450,40.36
50450,20076,40.36
50450,56099,45.79
56099,50450,45.79
