ノード番号,緯度,経度,3次メッシュID
66485,36.6851915,137.163412,5537123
66486,36.6850209,137.1631625,5537123
66487,36.6850471,137.1630082,5537123
66488,36.6843138,137.1633496,5537123
66489,36.6841682,137.1630235,5537123
66490,36.6839704,137.1626975,5537123
66491,36.68625,137.1619433,5537122
66492,36.686032,137.1623478,5537122
66493,36.6854624,137.1630513,5537123
66494,36.6854018,137.1630832,5537123
66495,36.6850948,137.1629472,5537123
66496,36.6851568,137.1629237,5537123
66497,36.6853601,137.1630077,5537123
66498,36.6854328,137.1629993,5537123
66499,36.6862492,137.1619972,5537122
66500,36.6820563,137.1591998,5537112
66501,36.6822545,137.1593235,5537112
66502,36.6809468,137.1587942,5537112
66503,36.6808967,137.159043,5537112
66504,36.680871,137.1592448,5537112
66505,36.6808184,137.1594531,5537112
66506,36.6808091,137.1596074,5537112
66507,36.6808308,137.1598118,5537112
66508,36.6808153,137.1599635,5537112
66509,36.6790228,137.1566647,5537112
66510,36.6790992,137.1567316,5537112
66511,36.679334,137.1569156,5537112
66512,36.6793961,137.1569679,5537112
66513,36.6794569,137.1569927,5537112
66514,36.6778198,137.1575501,5537112
66515,36.6779507,137.1569771,5537112
66516,36.6778764,137.1530623,5537112
66517,36.6786355,137.1536004,5537112
66518,36.6788991,137.1537763,5537112
66519,36.6791342,137.1538915,5537112
66520,36.6801653,137.1544108,5537112
66521,36.680429,137.1545238,5537112
66522,36.6805113,137.1545511,5537112
66523,36.6805775,137.1545327,5537112
66524,36.680629,137.1545984,5537112
66525,36.6807963,137.1546711,5537112
66526,36.680979,137.1547668,5537112
66527,36.6811739,137.1548855,5537112
66528,36.6814671,137.1551056,5537112
66529,36.681512,137.1551825,5537112
66530,36.6815566,137.1552109,5537112
66531,36.6817496,137.155449,5537112
66532,36.682998,137.1570059,5537112
66533,36.6846825,137.1549726,5537122
66534,36.6824498,137.1574404,5537112
66535,36.7078386,137.1158239,5537049
66536,36.6895339,137.2060815,5537126
66537,36.6894794,137.2065219,5537126
66538,36.6893859,137.2065307,5537126
66539,36.6891849,137.2086543,5537126
66540,36.6892859,137.2086489,5537126
66541,36.6893094,137.2082001,5537126
66542,36.6893246,137.2078308,5537126
66543,36.6893599,137.2074182,5537126
66544,36.6894085,137.207049,5537126
66545,36.6891009,137.2086449,5537126
66546,36.6891395,137.2077898,5537126
